date,aod,pm25,Temp_Max,Temp_Min,Humidity,Precipitation,Wind_Speed,SLP,U10M,V10M,TQV,TS
1/4/2023,0.367000017,223.25,16.5,5,89,0,11.5,1022.2861429166666,1.3732367307500002,-1.9140851,5.77490886,281.2889035
1/5/2023,0.896000043,258.2916666666667,15.4,5.1,90,0,9.2,1023.4445120833334,1.1899092322554166,-1.1986434,4.782207002500001,280.9575653333333
1/6/2023,1.02500005,317.7916666666667,13.9,4.6,89,0,9.2,1023.2769979166666,1.0193176124333332,-0.962777889,4.828513960833333,281.08664454166666
1/8/2023,0.928000044,306.2916666666667,17,5.4,89,0,14,1018.1270958333333,2.202810089,-1.564974194,10.511265155416666,284.46098070833335
1/9/2023,0.335000016,476.6666666666667,17.1,5.6,91,0,6.8,1019.3743,1.019524395,-1.408198124,11.003709241666668,284.9883295416667
1/10/2023,0.223000011,227.04166666666666,18.2,7.3,91,0,14.5,1017.476683,1.8472321733333334,-1.981071613,12.895717304166666,285.6136627083333
1/11/2023,0.344000016,194.8,19.3,7.4,88,0,13.3,1013.096858,-1.327387001,0.8958450049083333,16.132441516666667,287.9098588
1/16/2023,0.344000016,153.2608695652174,15.5,3.2,70,0,12.8,1016.60644,2.04950511,-2.404454386,3.9399181704166666,281.0454139583333
1/17/2023,0.281000013,154.41666666666666,16.3,3.1,69,0,14.4,1017.332208,2.343026886666667,-1.977576441,4.119263291666667,280.79855470833337
1/18/2023,0.236000011,190.08333333333334,16.5,3.2,68,0,9.7,1018.9191816666666,0.7222841137083332,-1.723169844,7.135716695,281.07419454166666
1/19/2023,0.41900002,190.16666666666666,18,6.2,68,0,15.1,1018.0137333333333,-0.301638073,-0.950792739,14.273018841666667,283.5268593
1/20/2023,0.250000012,86.79166666666667,19.7,9.8,73,0,14.9,1017.202886,-0.838676763,-2.694695975,14.021863383333333,285.3110007916667
1/21/2023,0.334000016,250.33333333333334,20.3,7,80,0,9.5,1015.9520604166668,-0.457912371,-1.238240777,12.235859554166666,286.10033545833335
1/22/2023,0.335000016,356,21.5,8.2,74,0,12.3,1015.7479912499999,-1.584210568,-1.25236624,14.67226811,287.0839946
1/23/2023,0.700000033,147.1304347826087,22.7,8.5,66,0,10,1013.907298,-1.378206984,0.682542109,17.292994108333335,288.1140874
1/24/2023,0.923000044,58.458333333333336,20.9,12.1,83,6.3,24.2,1013.101226,-2.415257047,2.573230783,22.398297629166667,287.62244791666666
1/25/2023,0.62300003,116.58333333333333,21,12.3,85,0.8,10.9,1015.9532216666666,1.2659760915416667,-1.545122628,14.730735304166666,287.6483778
1/27/2023,0.695000033,59.083333333333336,18.6,7.4,71,0,17.4,1017.1954529166666,3.021609247083333,-2.418985938,4.399927676,283.8280933
1/28/2023,0.442000021,143.125,20.6,6,71,0,13.7,1013.799523,1.1633398836666666,-1.329697775,6.70282616,284.9819183
1/29/2023,1.53100007,-45.25,16.4,7.7,86,2.9,15.6,1013.7787441666666,-2.279734349,1.3935098247083333,22.50704781,287.25178908333334
1/30/2023,1.39900007,73.33333333333333,16.4,10.5,86,26,17.1,1018.5572308333334,-1.66543243,-0.734895752,22.695619979166665,285.4194360833333
1/31/2023,0.988000047,83.25,20.5,9.4,85,0,20.5,1018.2971579166666,3.0954030495833336,-2.739879006,11.500617029583333,286.5980479583333
2/1/2023,0.872000041,87.29166666666667,20.1,9.1,77,0,19.6,1016.5125608333333,3.597100537083333,-2.291712383,6.518274943,285.8764916
2/2/2023,0.859000041,96,21.7,9,69,0,18.8,1015.8578116666667,3.4825195566666665,-2.363522008,9.545022848,287.2481675833333
2/14/2023,0.21400001,67.08695652173913,23.9,10,47,0,18.9,1014.1767150000001,3.2338559929166664,-2.599518647,14.307909379166666,290.18866095833334
2/15/2023,0.128000006,103.58333333333333,26.3,12.3,56,0,21.3,1012.1594504166666,3.5206424791666664,-2.732906764,12.33039928,291.4724082083333
2/16/2023,0.047000002,111,26.4,11.2,71,0,8.9,1013.9625808333334,-0.047101482,-1.412059455,13.790017966666667,292.0070914583333
3/20/2023,0.314000015,38.611111111111114,23.5,16.3,86,24.6,18.4,1007.3843179166666,-0.662610742,-0.27733428,31.32542969,292.13649745833334
3/21/2023,0.20200001,62.43478260869565,23.1,15.2,85,4.3,10,1008.9058229166667,-0.148945142,-0.873741205,23.787674829166665,293.94225570833333
3/23/2023,0.135000006,52,28,15.5,67,0,15.2,1007.9056620833334,0.9322631979541667,-1.453658775,24.232129654166666,297.8849272083333
3/25/2023,0.196000009,42.625,26.3,17.3,79,1.3,19.7,1011.0030312499999,-0.034979778,-0.942804118,19.99773342916667,296.8067704
3/26/2023,0.185000009,44.5,27.6,16.4,65,0,14.7,1010.5705566666667,1.4334856050833331,-2.712833578,21.82784794583333,297.43865708333334
3/27/2023,0.370000018,59.416666666666664,26.7,15.1,66,0,17.9,1010.2555383333333,2.359231199,-2.205177253,17.664685408333334,296.0671539
3/28/2023,0.241000011,62.041666666666664,28.4,15.7,64,0,17.7,1009.5766570833333,0.7638133934583333,-1.715453098,18.495486258333333,297.45606991666665
3/29/2023,0.329000016,62.791666666666664,31.2,16.8,58,0.2,12.2,1009.1330033333334,-1.367287204,0.30524450404598336,23.360053858333334,299.5252889
3/30/2023,0.286000014,54.541666666666664,30.8,17.5,71,12.4,18.4,1007.2923649999999,-0.347738406,0.5531134721250001,29.725373825000002,299.07470695833337
4/1/2023,0.233000011,40.833333333333336,25.3,15.9,81,1.2,11.6,1008.76796,1.3033953458291667,-0.502115394,25.76414894583333,296.04004541666666
